,Title,Response,Error,OMDB_Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,totalSeasons,DVD,BoxOffice,Production,Website
331,Malcolm,True,N/A,N/A,1986,PG-13,05 Nov 1986,85 min,"Comedy, Crime, Sci-Fi",Nadia Tass,David Parker,"Colin Friels, John Hargreaves, Lindy Davies","Malcolm is a chronically shy mechanical genius who has just been fired for building his own tram. He gets Frank, who has just been released from jail, to move in to help pay the bills. Malcolm, with Frank's help, turns to a life o...",English,Australia,9 wins,https://m.media-amazon.com/images/M/MV5BZGMyYjIxYmMtODM3OC00MjFmLTk5YzMtY2VkYTRkNGQ0YTU5XkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,"2,483",tt0091464,movie,N/A,11 Sep 2007,"$544,472",N/A,N/A
332,The Sinner,True,N/A,N/A,2017–2021,TV-MA,02 Aug 2017,45 min,"Crime, Drama, Mystery",Antonio Campos,Derek Simonds,"Bill Pullman, Jessica Hecht, Dohn Norwood",Anthology series that examines how and why ordinary people commit brutal crimes.,English,United States,Nominated for 1 Primetime Emmy. 16 nominations total,https://m.media-amazon.com/images/M/MV5BMjBkZDhkNzUtNDZhZS00ZDE1LWI1MjQtYjQ1OGM3Y2FiMmMwXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,"116,789",tt6048596,series,4,N/A,N/A,N/A,N/A
333,Space Sweepers,True,N/A,N/A,2021,TV-MA,05 Feb 2021,136 min,"Action, Adventure, Drama",Sung-hee Jo,Sung-hee Jo,"Song Joong-ki, Kim Tae-ri, Jin Seon-kyu","Set in the year 2092 and follows the crew of a space junk collector ship called The Victory. When they discover a humanoid robot named Dorothy that's known to be a weapon of mass destruction, they get involved in a risky business ...","Korean, English, Spanish, Danish, French, German, Russian, Chinese, Arabic, Filipino, Mandarin",South Korea,4 wins & 13 nominations,https://m.media-amazon.com/images/M/MV5BZTUxN2M3ZWYtMzc1MC00NTc4LWFhZDItMzViZDg2NmFjMzBhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,6.5,"24,513",tt12838766,movie,N/A,05 Feb 2021,N/A,N/A,N/A
334,Are We There Yet?,True,N/A,N/A,2005,PG,21 Jan 2005,95 min,"Adventure, Comedy, Family",Brian Levant,"Steven Gary Banks, Claudia Grazioso, J. David Stem","Ice Cube, Nia Long, Aleisha Allen","To impress a foxy divorcee, ladies' man Nick offers to take her kids on an extended road trip, unaware of the torture he's in for.",English,"United States, Canada",1 win & 8 nominations,https://m.media-amazon.com/images/M/MV5BZWYwZGI3MTgtMTNiZS00ZWYyLThmYjAtMjkwZTU4M2IxNjI5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '27/100'}]",27,4.7,"31,825",tt0368578,movie,N/A,24 May 2005,"$82,674,398",N/A,N/A
335,iCarly,True,N/A,N/A,2007–2012,TV-G,08 Sep 2007,30 min,"Comedy, Family, Romance",N/A,Dan Schneider,"Miranda Cosgrove, Jerry Trainor, Jennette McCurdy","Carly hosts her own home-grown web show, iCarly, Carly and sidekick Sam's regular webcasts ultimately feature everything from comedy sketches and talent contests to interviews, recipes, and problem-solving.",English,United States,Nominated for 7 Primetime Emmys. 13 wins & 61 nominations total,https://m.media-amazon.com/images/M/MV5BMTIwY2M1NWEtZWQxYy00YjVkLTgwMmQtYjY1NmU5ZGQxODk4XkEyXkFqcGdeQXVyNjcyNzkwMTc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,"38,112",tt0972534,series,6,N/A,N/A,N/A,N/A
336,War Dogs,True,N/A,N/A,2016,R,19 Aug 2016,114 min,"Biography, Comedy, Crime",Todd Phillips,"Stephen Chin, Todd Phillips, Jason Smilovic","Jonah Hill, Miles Teller, Steve Lantz","Loosely based on the true story of two young men, David Packouz and Efraim Diveroli, who won a three hundred million dollar contract from the Pentagon to arm America's allies in Afghanistan.","English, Arabic, Albanian, Romanian","United States, Romania",3 nominations,https://m.media-amazon.com/images/M/MV5BMjEyNzQ0NzM4MV5BMl5BanBnXkFtZTgwMDI0ODM2OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '61%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,7.1,"207,462",tt2005151,movie,N/A,22 Nov 2016,"$43,034,523",N/A,N/A
337,Crime Scene: The Vanishing at the Cecil Hotel,True,N/A,N/A,2021,TV-MA,10 Feb 2021,219 min,"Documentary, Crime, Mystery",N/A,N/A,"Tim Marcia, Amy Price, Greg Kading","College student and tourist Elisa Lam vanishes, leaving behind all of her possessions in her hotel room. The Cecil Hotel grows in infamy.","English, Spanish",United States,1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BN2Y5MzMzYTgtZjVhNy00YTcwLWJhY2MtNzZhNTcyZTIxZTdjXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,"17,155",tt13837672,series,1,N/A,N/A,N/A,N/A
338,Squared Love,True,N/A,N/A,2021,TV-14,11 Feb 2021,102 min,"Comedy, Romance",Filip Zylber,"Wiktor Piatkowski, Marzanna Polit","Adrianna Chlebicka, Mateusz Banasiuk, Agnieszka Zulewska",A celebrity journalist and renowned womanizer starts to rethink his life choices after he falls for a mysterious model who leads a double life.,Polish,Poland,N/A,https://m.media-amazon.com/images/M/MV5BOWNiMjBjM2MtODRlNy00MmY4LWFiOGUtYWRkYTA0MDgwMGJjXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '17%'}]",N/A,5.0,"3,069",tt13846542,movie,N/A,11 Feb 2021,N/A,N/A,N/A
339,Red Dot,True,N/A,N/A,2021,TV-MA,11 Feb 2021,86 min,"Drama, Horror, Thriller",Alain Darborg,"Alain Darborg, Per Dickson","Nanna Blondell, Anastasios Soulis, Thomas Hanzon","When Nadja becomes pregnant, she and David make an attempt to rekindle their relationship by traveling to the north of Sweden for a hiking trip, but soon their romantic trip turns into a nightmare.","Swedish, English",Sweden,1 nomination,https://m.media-amazon.com/images/M/MV5BYzhhN2U5NWQtNDA2Yi00ZDc5LWFlMDMtYjRkZmU5NGM5MzA4XkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}]",N/A,5.5,"13,123",tt11307814,movie,N/A,11 Feb 2021,N/A,N/A,N/A
340,To All the Boys: Always and Forever,True,N/A,N/A,2021,TV-14,12 Feb 2021,109 min,"Comedy, Drama, Romance",Michael Fimognari,"Katie Lovejoy, Jenny Han","Lana Condor, Noah Centineo, Janel Parrish",Senior year of high school takes center stage as Lara Jean returns from a family trip to Korea and considers her college plans - with and without Peter.,English,United States,2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BZTBkNDE1MTAtZDZjMi00ZjMzLWEwMjYtOTFlNjVmMjA1MWE0XkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,6.3,"24,061",tt10676012,movie,N/A,12 Feb 2021,N/A,N/A,N/A
341,The Crew,True,N/A,N/A,2000,PG-13,25 Aug 2000,88 min,"Comedy, Crime",Michael Dinner,Barry Fanaro,"Richard Dreyfuss, Burt Reynolds, Dan Hedaya",Four retired mobsters plan one last crime to save their retirement home.,"English, Spanish",United States,1 win,https://m.media-amazon.com/images/M/MV5BMTk2NDA2NTY2MV5BMl5BanBnXkFtZTcwNjg2MjIyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",37,5.6,"5,983",tt0198386,movie,N/A,13 Mar 2002,"$13,023,075",N/A,N/A
342,Good Girls,True,N/A,N/A,2018–2021,TV-14,26 Feb 2018,43 min,"Comedy, Crime, Drama",N/A,Jenna Bans,"Christina Hendricks, Retta, Mae Whitman",Three suburban mothers suddenly find themselves in desperate circumstances and decide to stop playing it safe and risk everything to take their power back.,English,United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BYmFmNTVjM2ItNDNmNC00NTU3LWIwNDQtNDhlNThhNjE1MDBjXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}]",N/A,7.7,"49,710",tt6474378,series,4,N/A,N/A,N/A,N/A
343,Animals on the Loose: A You vs. Wild Movie,True,N/A,N/A,2021,TV-PG,16 Feb 2021,90 min,"Adventure, Reality-TV",Ben Simms,"Robert Buchta (created by), Bear Grylls (created by), Delbert Shoopman (created by)",Bear Grylls,"The protective fence surrounding a wildlife sanctuary has mysteriously suffered a breach. Bear is called in to help rescue a mischievous baboon, track down a hungry lion, and fix the fence before any more animals get out.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BOTE1ODBmMzMtNWU5ZS00NmIyLTkxMzItMjAyNjY4ZDY0NjEyXkEyXkFqcGdeQXVyMTE5NDQ1MzQ3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,733,tt13853720,movie,N/A,N/A,N/A,N/A,N/A
344,Behind Her Eyes,True,N/A,N/A,2021,TV-MA,17 Feb 2021,298 min,"Drama, Mystery, Thriller",N/A,Steve Lightfoot,"Simona Brown, Eve Hewson, Tom Bateman","It follows Louise, a single mom with a son and a part-time job in a psychiatrist's office. She begins an affair with her boss and strikes up an unlikely friendship with his wife.",English,United Kingdom,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BMDk2Njg0ZTUtNTFjZS00NzUwLWEwZDQtZTg5MDZiMmJhNGEzXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,"57,054",tt9698442,series,1,N/A,N/A,N/A,N/A
345,I Care a Lot,True,N/A,N/A,2020,R,19 Feb 2021,118 min,"Comedy, Crime, Drama",J Blakeson,J Blakeson,"Rosamund Pike, Peter Dinklage, Eiza González",A crooked legal guardian who drains the savings of her elderly wards meets her match when a woman she tries to swindle turns out to be more than she first appears.,English,"United States, United Kingdom",1 win & 6 nominations,https://m.media-amazon.com/images/M/MV5BYWU2ZTRhNDMtMWYxMC00ZTVkLThjZmItZGY4MGU0YmZlMjJlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,6.3,"127,121",tt9893250,movie,N/A,19 Feb 2021,N/A,N/A,N/A
346,Tribes of Europa,True,N/A,N/A,2021–,TV-MA,19 Feb 2021,N/A,"Action, Adventure, Drama",N/A,Philip Koch,"Henriette Confurius, Emilio Sakraya, David Ali Rashed","2074. In the wake of a mysterious global disaster, war rages between the Tribes that have emerged from the wreckage of Europe. Three siblings from the peaceful Origine tribe are separated and forced to forge their own paths.","German, English",Germany,3 nominations,https://m.media-amazon.com/images/M/MV5BOGJlZjE2MjMtYzkwZi00MTdlLThhZTMtYmI4MjIyOTYzNWQ5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,"11,760",tt9184982,series,1,N/A,N/A,N/A,N/A
347,The Conjuring 2,True,N/A,N/A,2016,R,10 Jun 2016,134 min,"Horror, Mystery, Thriller",James Wan,"Chad Hayes, Carey W. Hayes, James Wan","Vera Farmiga, Patrick Wilson, Madison Wolfe",Ed and Lorraine Warren travel to North London to help a single mother raising four children alone in a house plagued by a supernatural spirit.,English,"Canada, United States, United Kingdom",4 wins & 13 nominations,https://m.media-amazon.com/images/M/MV5BZjU5OWVlN2EtODNlYy00MjhhLWI0MDUtMTA3MmQ5MGMwYTZmXkEyXkFqcGdeQXVyNjE5MTM4MzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,7.3,"259,618",tt3065204,movie,N/A,13 Sep 2016,"$102,516,140",N/A,N/A
348,Ginny,True,N/A,N/A,2016,N/A,01 May 2016,5 min,"Animation, Short",Susi Jirkuff,N/A,"Georgi Nightingall, Howard Nightingall",N/A,English,Austria,1 nomination,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",N/A,5.3,8,tt6789116,movie,N/A,N/A,N/A,N/A,N/A
349,Age of Samurai: Battle for Japan,True,N/A,N/A,2021–,TV-MA,24 Feb 2021,N/A,"Documentary, Action, Adventure",N/A,N/A,"Hiro Kanagawa, Hayate Masao, Stephen Turnbull",An exploration of the warring kingdoms of feudal Japan when several powerful warlords fought to become absolute ruler.,"Korean, Japanese, English",United States,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BOThiNjMyMzMtYzI5YS00ZGUzLTgwMWQtYzM3NTZlOGVmOWI0XkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,"3,997",tt10551256,series,1,N/A,N/A,N/A,N/A
350,Canine Intervention,True,N/A,N/A,2021–,TV-14,24 Feb 2021,N/A,"Documentary, Reality-TV",N/A,N/A,Jasalah Leverette,"Series follows renowned Oakland dog trainer, Jas Leverette, as he runs one of the top dog training facilities in California.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BOTQ1NjJmYmQtZTAxNS00OWI0LWJmNzQtYmY0N2U2MmRiZmExXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,878,tt13932598,series,1,N/A,N/A,N/A,N/A
351,Bigfoot Family,True,N/A,N/A,2020,TV-Y7,26 Jan 2021,89 min,"Animation, Adventure, Family","Jeremy Degruson, Ben Stassen","Ben Stassen, Cal Brunker, Bob Barlen","Jules Medcraft, Kylian Trouillard, Alexis Victor","Follow up to Son of Bigfoot: Father uses his new fame to fight against an Alaska oil company but when he disappears the son, the mother, a raccoon and a bear head North to rescue him.",English,"Belgium, France",1 nomination,https://m.media-amazon.com/images/M/MV5BMjNkYjUzODItNGM3ZS00Y2JjLWI2OTUtZjZmYjkzZTQzMTdmXkEyXkFqcGdeQXVyNjYxNzY5MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,"2,678",tt9204164,movie,N/A,26 Feb 2021,N/A,N/A,N/A
352,Biggie: I Got a Story to Tell,True,N/A,N/A,2021,R,01 Mar 2021,97 min,"Documentary, Biography, Music",Emmett Malloy,Sam Sweet,"The Notorious B.I.G., Damion Butler, Sean 'Diddy' Combs","This documentary features rare footage filmed by Christopher Wallace's best friend, Damion ""D-Roc"" Butler, and interviews with his closest friends and family, revealing a side of Biggie Smalls that the world never knew.",English,United States,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BMmEwM2U2NTYtOTE5My00NWUyLWFjMWMtMDhjNmVlMWNkZTRlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62,6.8,"4,920",tt14058484,movie,N/A,01 Mar 2021,N/A,N/A,N/A
353,Step Up Revolution,True,N/A,N/A,2012,PG-13,27 Jul 2012,99 min,"Drama, Music, Romance",Scott Speer,"Amanda Brody, Duane Adler","Kathryn McCormick, Ryan Guzman, Cleopatra Coleman","Emily arrives in Miami with aspirations to become a professional dancer. She sparks with Sean, the leader of a dance crew whose neighborhood is threatened by Emily's father's development plans.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMjg1NjgyOTM2OF5BMl5BanBnXkFtZTcwMDIxMDE2Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '43/100'}]",43,6.4,"55,887",tt1800741,movie,N/A,27 Nov 2012,"$35,074,677",N/A,N/A
354,Murder Among the Mormons,True,N/A,N/A,2021,TV-14,03 Mar 2021,160 min,"Documentary, Crime, History",N/A,N/A,"Dorie Hofmann Olds, Shannon Flynn, Brent Metcalfe",High-stakes exploits turn deadly - and shake a global church to its core - in the extraordinary true crime story.,English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BMTAzYzQxY2QtNTgxYS00MmM1LThmZjQtMTRlNDE1ODkzNjY5XkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,"6,011",tt13987620,series,1,N/A,N/A,N/A,N/A
355,Moxie,True,N/A,N/A,2021,PG-13,03 Mar 2021,111 min,"Comedy, Drama, Music",Amy Poehler,"Jennifer Mathieu, Tamara Chestna, Dylan Meyer","Hadley Robinson, Lauren Tsai, Alycia Pascual-Pena","Inspired by her mom's rebellious past and a confident new friend, a shy 16-year-old publishes an anonymous zine calling out sexism at her school.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNjkwYzY2OTgtYjNiZi00YmNiLTk5YTQtZTQyZjM1YzA1ZmMwXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,6.7,"24,323",tt6432466,movie,N/A,03 Mar 2021,N/A,N/A,N/A
356,Training Day,True,N/A,N/A,2001,R,05 Oct 2001,122 min,"Action, Crime, Drama",Antoine Fuqua,David Ayer,"Denzel Washington, Ethan Hawke, Scott Glenn",A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.,"English, Russian, Spanish, Korean, Greek",United States,Won 1 Oscar. 18 wins & 23 nominations total,https://m.media-amazon.com/images/M/MV5BMDZkMTUxYWEtMDY5NS00ZTA5LTg3MTItNTlkZWE1YWRjYjMwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,7.7,"422,987",tt0139654,movie,N/A,19 Mar 2002,"$76,631,907",N/A,N/A
357,Sentinelle,True,N/A,N/A,2021,TV-MA,05 Mar 2021,80 min,"Action, Crime, Drama",Julien Leclercq,"Julien Leclercq, Matthieu Serveau","Olga Kurylenko, Marilyn Lima, Michel Nabokoff","Transferred home after a traumatizing combat mission, a trained French soldier uses her lethal skills to hunt down the man who hurt her sister.","French, Arabic, Russian, English",France,N/A,https://m.media-amazon.com/images/M/MV5BZDA5ZGVkZGMtNzk1My00YTU5LTgxYWUtODBlYmQyZjRjZjg4XkEyXkFqcGdeQXVyMTE5MTkxMDI2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '70%'}]",N/A,4.7,"7,711",tt11734264,movie,N/A,05 Mar 2021,N/A,N/A,N/A
358,The Dark Knight,True,N/A,N/A,2008,PG-13,18 Jul 2008,152 min,"Action, Crime, Drama",Christopher Nolan,"Jonathan Nolan, Christopher Nolan, David S. Goyer","Christian Bale, Heath Ledger, Aaron Eckhart","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","English, Mandarin","United States, United Kingdom",Won 2 Oscars. 159 wins & 163 nominations total,https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",84,9.0,"2,547,075",tt0468569,movie,N/A,09 Dec 2008,"$534,987,076",N/A,N/A
359,Parker,True,N/A,N/A,2013,R,25 Jan 2013,118 min,"Action, Crime, Thriller",Taylor Hackford,"John J. McLaughlin, Donald E. Westlake","Jason Statham, Jennifer Lopez, Michael Chiklis","A thief with a unique code of professional ethics is double-crossed by his crew and left for dead. Assuming a new disguise and forming an unlikely alliance with a woman on the inside, he looks to hijack the score of the crew's lat...",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BZGFmOGRhNjctNjZlMi00Yjc0LTkyYjUtMGM1Mjg2NzEzMmZiXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,6.2,"121,767",tt1904996,movie,N/A,07 May 2013,"$17,616,641",N/A,N/A
360,Last Chance U: Basketball,True,N/A,N/A,2021–,TV-MA,10 Mar 2021,N/A,"Documentary, Sport",N/A,N/A,N/A,Explore an honest and gritty look inside the world of community college basketball.,English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BYTcyMzJkNDYtZmVhOS00ODg4LWIxMzUtNzZiMmQ4N2U3N2MxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}]",N/A,8.3,"2,433",tt13087512,series,1,N/A,N/A,N/A,N/A
361,Marriage or Mortgage,True,N/A,N/A,2021–,TV-G,10 Mar 2021,N/A,Reality-TV,N/A,N/A,"Elliot Schiff, Goria Cunningham, Brittany Williams","Married or single, we've all heard it. ""You could buy a house for the price of that wedding!"" But have you ever stopped to think, what if you actually did?",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNmE5ODVmMDAtMjUxNS00ZTQzLWI2ZTMtNmY5NGU5OTI2ZDUyXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",N/A,5.1,435,tt14037542,series,1,N/A,N/A,N/A,N/A
362,Yes Day,True,N/A,N/A,2021,PG,12 Mar 2021,86 min,"Comedy, Family",Miguel Arteta,"Justin Malen, Amy Krouse Rosenthal, Tom Lichtenheld","Jennifer Garner, Edgar Ramírez, Jenna Ortega",A mom and dad who usually say no decide to say yes to their kids' wildest requests with a few ground rules on a whirlwind day of fun and adventure.,"English, Spanish",United States,2 nominations,https://m.media-amazon.com/images/M/MV5BNTMwMzA4YzYtMzkwNC00N2ZhLTk5MjQtMjg3ODA3NDY3ZmVmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,5.7,"23,021",tt8521876,movie,N/A,12 Mar 2021,N/A,N/A,N/A
363,The One,True,N/A,N/A,2001,PG-13,02 Nov 2001,87 min,"Action, Sci-Fi, Thriller",James Wong,"Glen Morgan, James Wong","Jet Li, Carla Gugino, Delroy Lindo","A rogue Multiverse agent goes on a manhunt for alternate versions of himself, getting stronger with each kill. Only the last version of himself, an LASD cop, can stop his crusade before he becomes ""The One"".",English,United States,4 nominations,https://m.media-amazon.com/images/M/MV5BNzY4YmUzMDAtMDYyZS00MTBmLWEzZDAtOGY3MDE2YjJkMGUxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}, {'Source': 'Metacritic', 'Value': '25/100'}]",25,5.9,"91,482",tt0267804,movie,N/A,05 Mar 2002,"$43,905,746",N/A,N/A
364,Paradise PD,True,N/A,N/A,2018–,TV-MA,31 Aug 2018,28 min,"Animation, Action, Comedy",N/A,"Roger Black, Waco O'Guin","Sarah Chalke, David Herman, Tom Kenny","Animated series about bad cops. Not bad as in corrupt, bad as in under-performing. They aren't first responders, they are the worst responders.",English,United States,1 win,https://m.media-amazon.com/images/M/MV5BMTU2NjgxNTUxMF5BMl5BanBnXkFtZTgwMzM4MjMwNjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,"18,135",tt8235236,series,3,N/A,N/A,N/A,N/A
365,The Lost Pirate Kingdom,True,N/A,N/A,2021–,TV-MA,15 Mar 2021,N/A,"Documentary, Adventure, Drama",N/A,N/A,"Derek Jacobi, James Oliver Wheatley, Sam Callis","The real-life pirates of the Caribbean violently plunder, stealing and form a surprisingly egalitarian republic in this documentary series.",English,"United States, United Kingdom",N/A,https://m.media-amazon.com/images/M/MV5BYTYyNjNlMzktOTBhNy00NjQ3LTk5NGYtYzFmNzM0OTgxOWRjXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,"2,709",tt14057360,series,1,N/A,N/A,N/A,N/A
366,Savages,True,N/A,N/A,2012,R,06 Jul 2012,131 min,"Action, Crime, Drama",Oliver Stone,"Shane Salerno, Don Winslow, Oliver Stone","Aaron Taylor-Johnson, Taylor Kitsch, Blake Lively",Pot growers Ben and Chon face off against the Mexican drug cartel who kidnapped their shared girlfriend.,"English, Spanish",United States,7 nominations,https://m.media-amazon.com/images/M/MV5BMTk0ODIyNDAyMF5BMl5BanBnXkFtZTcwMTQ5Nzg3Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,6.5,"129,097",tt1615065,movie,N/A,23 Oct 2012,"$47,382,068",N/A,N/A
